0.389893644 10.0.0.1:44798 10.0.0.2:5001 32 0x54789a58 0x54780748 27 24 60928 7
0.390056749 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.392449726 10.0.0.1:44798 10.0.0.2:5001 32 0x54789a58 0x54781de8 27 24 60928 7
0.393594682 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.396386522 10.0.0.1:44798 10.0.0.2:5001 32 0x54789a58 0x54782938 27 24 60928 7
0.397049014 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.400289907 10.0.0.1:44798 10.0.0.2:5001 32 0x5478cd40 0x54783488 27 24 60928 6
0.400851101 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.403914813 10.0.0.1:44798 10.0.0.2:5001 32 0x5478de38 0x54784b28 27 24 60928 7
0.404443618 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.405216923 10.0.0.1:44798 10.0.0.2:5001 32 0x5478de38 0x54785678 27 24 60928 7
0.405666779 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.407649902 10.0.0.1:44798 10.0.0.2:5001 32 0x5478de38 0x547861c8 27 24 60928 7
0.408502100 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.408903132 10.0.0.1:44798 10.0.0.2:5001 32 0x5478de38 0x54786d18 27 24 60928 7
0.409025890 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.411598051 10.0.0.1:44798 10.0.0.2:5001 32 0x54790b78 0x547872c0 27 24 64000 7
0.411683130 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.412635669 10.0.0.1:44798 10.0.0.2:5001 32 0x54791120 0x54787868 27 24 67072 7
0.412767152 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.416009755 10.0.0.1:44798 10.0.0.2:5001 32 0x54791c70 0x547883b8 27 24 67072 7
0.416158826 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.417407921 10.0.0.1:44798 10.0.0.2:5001 32 0x54791c70 0x54788f08 28 24 67072 7
0.417660400 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.418692305 10.0.0.1:44798 10.0.0.2:5001 32 0x54791c70 0x54789a58 28 24 67072 8
0.418982092 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.422092058 10.0.0.1:44798 10.0.0.2:5001 32 0x54791c70 0x5478a5a8 28 24 67072 7
0.422287818 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.424669772 10.0.0.1:44798 10.0.0.2:5001 32 0x54794f58 0x5478b0f8 28 24 67072 7
0.424940495 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.426016470 10.0.0.1:44798 10.0.0.2:5001 32 0x54795aa8 0x5478bc48 28 24 67072 7
0.426188195 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.430565243 10.0.0.1:44798 10.0.0.2:5001 32 0x54796050 0x5478c798 28 24 67072 7
0.430793117 10.0.0.2:5001 10.0.0.1:44798 1480 0x360fa253 0x360fa253 10 2147483647 14848 3
0.435250001 10.0.0.1:44798 10.0.0.2:5001 32 0x54796050 0x5478d2e8 28 24 67072 7
